"","Name","DistanceAT","ortholog","Strain","TF","Length"
"1","EbroNfe1_000001-T1",1403,"og_4422","EbroNfe1","FALSE",259
"2","EbroNfe1_000002-T1",798,"og_5274","EbroNfe1","FALSE",330
"3","EbroNfe1_000003-T1",3767,"og_1293","EbroNfe1","FALSE",163
"4","EbroNfe1_000004-T1",5046,"og_0409","EbroNfe1","FALSE",341
"5","EbroNfe1_000005-T1",1690,"og_29412","EbroNfe1","TRUE",213
"6","EbroNfe1_000006-T1",113,"og_7009","EbroNfe1","FALSE",148
"7","EbroNfe1_000007-T1",851,"og_29413","EbroNfe1","TRUE",211
"8","EbroNfe1_000008-T1",253,"og_0326","EbroNfe1","FALSE",444
"9","EbroNfe1_000009-T1",4426,"og_5300","EbroNfe1","FALSE",94
"10","EbroNfe1_000010-T1",921,"og_6988","EbroNfe1","FALSE",428
"11","EbroNfe1_000011-T1",60,"og_1064","EbroNfe1","FALSE",875
"12","EbroNfe1_000012-T1",1576,"og_5191","EbroNfe1","FALSE",126
"13","EbroNfe1_000014-T1",677,"og_11757","EbroNfe1","FALSE",446
"14","EbroNfe1_000020-T1",1602,"og_1948","EbroNfe1","FALSE",312
"15","EbroNfe1_000021-T1",617,"og_0287","EbroNfe1","FALSE",162
"16","EbroNfe1_000022-T1",630,"og_0293","EbroNfe1","FALSE",200
"17","EbroNfe1_000023-T1",1775,"og_9751","EbroNfe1","FALSE",420
"18","EbroNfe1_000024-T1",1227,"og_9860","EbroNfe1","FALSE",532
"19","EbroNfe1_000025-T1",824,"og_10519","EbroNfe1","FALSE",288
"20","EbroNfe1_000027-T1",303,"og_7521","EbroNfe1","FALSE",324
"21","EbroNfe1_000028-T1",188,"og_7584","EbroNfe1","FALSE",3312
"22","EbroNfe1_000029-T1",58,"og_7196","EbroNfe1","FALSE",262
"23","EbroNfe1_000030-T1",192,"og_3259","EbroNfe1","FALSE",343
"24","EbroNfe1_000032-T1",1241,"og_6775","EbroNfe1","FALSE",239
"25","EbroNfe1_000033-T1",1429,"og_4805","EbroNfe1","FALSE",278
"26","EbroNfe1_000034-T1",589,"og_6777","EbroNfe1","FALSE",345
"27","EbroNfe1_000037-T1",266,"og_1452","EbroNfe1","FALSE",297
"28","EbroNfe1_000038-T1",1505,"og_0525","EbroNfe1","FALSE",2233
