"","Name","DistanceAT","ortholog","Strain","Length","EffectiveLength","TPM","NumReads","TF"
"1","Eam702_000001-T1",63298,"og_6853","Eam702",1971,1722,0.519836,11,"FALSE"
"2","Eam702_000002-T1",0,"og_0644","Eam702",960,711,62.836155,549,"FALSE"
"3","Eam702_000003-T1",308,"og_0157","Eam702",894,645,468.333379,3712,"FALSE"
"4","Eam702_000004-T1",61144,"og_7959","Eam702",1566,1317,34.479049,558,"FALSE"
"5","Eam702_000005-T1",1732,"og_7542","Eam702",543,294,88.851458,321,"FALSE"
"6","Eam702_000006-T1",595,"og_3582","Eam702",1257,1008,75.403795,934,"FALSE"
"7","Eam702_000007-T1",58595,"og_0124","Eam702",1254,1005,22.105658,273,"FALSE"
"8","Eam702_000008-T1",55136,"og_11710","Eam702",2517,2268,5.812712,162,"FALSE"
"9","Eam702_000009-T1",49533,"og_5234","Eam702",3162,2913,16.20296,580,"FALSE"
"10","Eam702_000010-T1",47581,"og_1913","Eam702",1113,864,4.897748,52,"FALSE"
"11","Eam702_000011-T1",45715,"og_1524","Eam702",1260,1011,41.695143,518,"FALSE"
"12","Eam702_000012-T1",40741,"og_4302","Eam702",3153,2904,82.050516,2928,"FALSE"
"13","Eam702_000013-T1",200,"og_10435","Eam702",753,504,45.04852,279,"FALSE"
"14","Eam702_000014-T1",1720,"og_2239","Eam702",1530,1281,45.993483,724,"FALSE"
"15","Eam702_000015-T1",38746,"og_4011","Eam702",834,585,22.813653,164,"FALSE"
"16","Eam702_000016-T1",36785,"og_0465","Eam702",1431,1182,1.927735,28,"FALSE"
"17","Eam702_000017-T1",1421,"og_3163","Eam702",1062,813,23.522538,235,"FALSE"
"18","Eam702_000018-T1",0,"og_4398","Eam702",1191,942,1.468605,17,"FALSE"
"19","Eam702_000019-T1",608,"og_5768","Eam702",1029,780,51.017728,489,"FALSE"
"20","Eam702_000020-T1",34359,"og_11723","Eam702",1308,1059,6.839131,89,"FALSE"
"21","Eam702_000021-T1",847,"og_6042","Eam702",1170,921,47.448394,537,"FALSE"
"22","Eam702_000022-T1",110,"og_4504","Eam702",1995,1746,48.379344,1038,"FALSE"
"23","Eam702_000023-T1",1828,"og_0907","Eam702",522,273,54.25198,182,"FALSE"
"24","Eam702_000024-T1",31280,"og_2267","Eam702",1188,939,3.553245,41,"FALSE"
"25","Eam702_000025-T1",3941,"og_9777","Eam702",906,657,6.6886,54,"FALSE"
"26","Eam702_000026-T1",4945,"og_4894","Eam702",2124,1875,0.173606,4,"FALSE"
"27","Eam702_000027-T1",28237,"og_5467","Eam702",906,657,0,0,"FALSE"
"28","Eam702_000028-T1",27665,"og_30771","Eam702",270,29.977,2.71467,1,"TRUE"
"29","Eam702_000029-T1",24164,"og_0566","Eam702",1188,939,25.566029,295,"FALSE"
"30","Eam702_000030-T1",10041,"og_1893","Eam702",1605,1356,0,0,"FALSE"
"31","Eam702_000031-T1",8526,"og_1788","Eam702",1182,933,30.353198,348,"FALSE"
"32","Eam702_000032-T1",17645,"og_4094","Eam702",3240,2991,13.685429,503,"FALSE"
"33","Eam702_000033-T1",7099,"og_2124","Eam702",918,669,70.916827,583,"FALSE"
"34","Eam702_000034-T1",398,"og_5503","Eam702",1158,909,35.630839,398,"FALSE"
"35","Eam702_000035-T1",5121,"og_4842","Eam702",555,306,0,0,"FALSE"
"36","Eam702_000036-T1",3180,"og_3720","Eam702",717,468,82.769048,476,"FALSE"
"37","Eam702_000037-T1",13190,"og_9169","Eam702",2664,2415,42.458072,1260,"FALSE"
"38","Eam702_000038-T1",4873,"og_10232","Eam702",2328,2079,8.024283,205,"FALSE"
"39","Eam702_000039-T1",1593,"og_30772","Eam702",294,47.126,6.907302,4,"TRUE"
"40","Eam702_000040-T1",1314,"og_10100","Eam702",6483,6234,9.764312,748,"FALSE"
"41","Eam702_000041-T1",9509,"og_2958","Eam702",900,651,17.000621,136,"FALSE"
"42","Eam702_000042-T1",8445,"og_2852","Eam702",768,519,54.722374,349,"FALSE"
"43","Eam702_000043-T1",6820,"og_4245","Eam702",1002,753,68.301299,632,"FALSE"
"44","Eam702_000044-T1",2692,"og_9989","Eam702",2505,2256,37.081806,1028,"FALSE"
"45","Eam702_000045-T1",0,"og_6705","Eam702",681,432,0.37675,2,"FALSE"
"46","Eam702_000046-T1",948,"og_30773","Eam702",285,39.947,0,0,"TRUE"
"47","Eam702_000047-T1",415,"og_1770","Eam702",759,510,24.892085,156,"FALSE"
"48","Eam702_000048-T1",408,"og_30774","Eam702",315,66.324,0,0,"TRUE"
"49","Eam702_000049-T1",378,"og_9860","Eam702",1668,1419,16.803203,293,"FALSE"
"50","Eam702_000050-T1",1407,"og_10519","Eam702",843,594,28.63299,209,"FALSE"
"51","Eam702_000051-T1",6,"og_10697","Eam702",414,165,9.863996,20,"FALSE"
"52","Eam702_000052-T1",0,"og_4499","Eam702",225,13.734,65.180363,11,"FALSE"
"53","Eam702_000053-T1",1522,"og_4498","Eam702",690,441,1.476244,8,"FALSE"
"54","Eam702_000054-T1",2521,"og_4496","Eam702",348,99.004,80.552516,98,"FALSE"
"55","Eam702_000055-T1",3663,"og_0023","Eam702",1815,1566,54.615739,1051,"FALSE"
"56","Eam702_000056-T1",3532,"og_0158","Eam702",561,312,14.606302,56,"FALSE"
"57","Eam702_000057-T1",1569,"og_11094","Eam702",570,321,95.828265,378,"FALSE"
"58","Eam702_000058-T1",0,"og_4840","Eam702",201,10.012,0,0,"FALSE"
"59","Eam702_000059-T1",461,"og_1720","Eam702",465,216,0.37675,1,"FALSE"
